"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-106.67","52.12","SASKATOON 2","4057172","1982-01-01","1982","01","01","","-24.0","","-35.0","","-29.5","","47.5","","0.0","","0.0","","1.0","","1.0","","12","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1982-01-02","1982","01","02","","-25.0","","-32.5","","-28.8","","46.8","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1982-01-03","1982","01","03","","-21.5","","-31.5","","-26.5","","44.5","","0.0","","0.0","","1.4","","1.4","","13","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1982-01-04","1982","01","04","","-23.5","","-28.5","","-26.0","","44.0","","0.0","","0.0","","0.0","","0.0","","14","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1982-01-05","1982","01","05","","-29.0","","-35.0","","-32.0","","50.0","","0.0","","0.0","","0.0","","0.0","","14","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1982-01-06","1982","01","06","","-24.0","","-35.5","","-29.8","","47.8","","0.0","","0.0","","0.0","","0.0","","14","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1982-01-07","1982","01","07","","-21.5","","-34.5","","-28.0","","46.0","","0.0","","0.0","","0.2","","0.2","","14","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1982-01-08","1982","01","08","","-23.5","","-32.0","","-27.8","","45.8","","0.0","","0.0","","0.0","","0.0","","14","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1982-01-09","1982","01","09","","-27.0","","-29.5","","-28.3","","46.3","","0.0","","0.0","","0.0","","0.0","","14","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1982-01-10","1982","01","10","","-27.0","","-38.0","","-32.5","","50.5","","0.0","","0.0","","0.0","","0.0","","14","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1982-01-11","1982","01","11","","-19.0","","-37.0","","-28.0","","46.0","","0.0","","0.0","","1.6","","1.6","","14","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1982-01-12","1982","01","12","","-18.0","","-30.0","","-24.0","","42.0","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1982-01-13","1982","01","13","","2.0","","-34.0","","-16.0","","34.0","","0.0","","0.0","","1.0","","1.0","","15","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1982-01-14","1982","01","14","","1.5","","-33.0","","-15.8","","33.8","","0.0","","0.0","","0.4","","0.4","","16","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1982-01-15","1982","01","15","","-27.0","","-32.0","","-29.5","","47.5","","0.0","","0.0","","0.0","T","0.0","T","16","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1982-01-16","1982","01","16","","-19.0","","-33.0","","-26.0","","44.0","","0.0","","0.0","","0.2","","0.2","","16","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1982-01-17","1982","01","17","","-19.0","","-29.0","","-24.0","","42.0","","0.0","","0.0","","0.8","","0.8","","16","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1982-01-18","1982","01","18","","-21.0","","-23.0","","-22.0","","40.0","","0.0","","0.0","","0.2","","0.2","","17","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1982-01-19","1982","01","19","","-28.0","","-35.0","","-31.5","","49.5","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1982-01-20","1982","01","20","","-28.5","","-36.0","","-32.3","","50.3","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
